YOM,Brand,Car_Name,Kms_Driven,Fuel_Type,Owner_Type,Transmission_Type,Price_in_Lakhs,Emi_per_Month,Location
2018,Hyundai,Hyundai Grand i10 SPORTZ AT 1.2 KAPPA VTVT,46769,Petrol,1st owner,Automatic,5.0,9775,Hyderabad
2017,Honda,Honda City 1.5L I-VTEC SV,49696,Petrol,1st owner,Manual,5.43,10616,Hyderabad
2021,Maruti,Maruti Baleno ZETA CVT PETROL 1.2,16848,Petrol,1st owner,Automatic,7.35,14369,Hyderabad
2021,Maruti,Maruti Alto LXI,26941,Petrol,1st owner,Manual,3.24,6334,Hyderabad
2016,Hyundai,Hyundai Elite i20 SPORTZ 1.2,52603,Petrol,3rd owner,Manual,4.12,8056,Hyderabad
2021,Tata,Tata Tiago XZA PLUS PETROL,8319,Petrol,1st owner,Manual,6.11,11945,Hyderabad
2017,Maruti,Maruti Swift VXI,57598,Petrol,2nd owner,Manual,4.49,8786,Hyderabad
2016,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,55599,Petrol,1st owner,Automatic,3.42,6686,Hyderabad
2016,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,57584,Petrol,3rd owner,Automatic,7.32,14307,Hyderabad
2011,Toyota,Toyota Etios Liva G,75528,Petrol,1st owner,Manual,2.38,11203,Hyderabad
2021,Maruti,Maruti Dzire VXI,21339,Petrol,1st owner,Manual,6.33,12380,Hyderabad
2018,Renault,Renault Kwid RXT 1.0 AMT (O),8415,Petrol,1st owner,Manual,3.57,6979,Hyderabad
2017,Maruti,Maruti Ciaz ZETA 1.4 AT PETROL,74011,Petrol,1st owner,Automatic,5.82,11378,Hyderabad
2020,Hyundai,Hyundai AURA S 1.2 CNG,67150,CNG,1st owner,Manual,6.2,12128,Hyderabad
2017,Ford,Ford Ecosport TITANIUM 1.5L PETROL,61267,Petrol,1st owner,Manual,5.44,10635,Hyderabad
2014,Volkswagen,Volkswagen Polo COMFORTLINE 1.2L,62703,Petrol,1st owner,Manual,3.71,8253,Hyderabad
2021,Maruti,Maruti New Wagon-R LXI CNG (O) 1.0,35167,CNG,1st owner,Manual,5.46,10674,Hyderabad
2017,Volkswagen,Volkswagen Polo GT TSI AT,46706,Petrol,2nd owner,Automatic,5.85,11437,Hyderabad
2013,Maruti,Maruti Wagon R 1.0 LXI CNG,28115,CNG,1st owner,Manual,3.18,14969,Hyderabad
2021,Renault,Renault TRIBER RXZ AMT,14674,Petrol,2nd owner,Manual,6.21,12141,Hyderabad
2018,Datsun,Datsun Go Plus A,44918,Petrol,1st owner,Manual,3.04,5943,Hyderabad
2018,Honda,Honda BR-V 1.5L I-VTEC V,73889,Petrol,1st owner,Manual,7.51,14682,Hyderabad
2016,Maruti,Maruti Ciaz VXI+,90394,Petrol,1st owner,Manual,4.74,9267,Hyderabad
2019,Maruti,Maruti Swift VXI,88812,Petrol,1st owner,Manual,4.93,9633,Hyderabad
2017,Maruti,Maruti Ciaz ALPHA 1.4 PETROL,73974,Petrol,1st owner,Manual,5.99,11711,Hyderabad
2017,Honda,Honda City 1.5L I-VTEC ZX CVT,55634,Petrol,1st owner,Automatic,7.81,15266,Hyderabad
2019,Hyundai,Hyundai Elite i20 MAGNA PLUS 1.2,83537,Petrol,1st owner,Manual,5.47,10694,Hyderabad
2015,Hyundai,Hyundai Elite i20 ASTA 1.2,85367,Petrol,1st owner,Manual,4.11,8035,Hyderabad
2015,Hyundai,Hyundai Elite i20 ASTA 1.2,33039,Petrol,2nd owner,Manual,4.49,8778,Hyderabad
2019,Hyundai,Hyundai NEW SANTRO SPORTZ CNG,67801,CNG,1st owner,Manual,4.58,8954,Hyderabad
2013,Maruti,Maruti Wagon R 1.0 LXI,75871,Petrol,1st owner,Manual,2.6,6847,Hyderabad
2021,Hyundai,Hyundai NEW I20 ASTA (O) 1.0 TURBO GDI DCT,15744,Petrol,1st owner,Automatic,9.29,17683,Hyderabad
2023,Tata,Tata PUNCH CREATIVE MT,6534,Petrol,1st owner,Manual,7.89,15425,Hyderabad
2017,Honda,Honda City 1.5L I-VTEC SV,38492,Petrol,1st owner,Manual,6.03,11789,Hyderabad
2019,Hyundai,Hyundai Creta SX AT 1.6 PETROL,69454,Petrol,2nd owner,Automatic,9.53,18139,Hyderabad
2023,Tata,Tata TIGOR XM CNG,4435,CNG,1st owner,Manual,7.02,13718,Hyderabad
2018,Honda,Honda City 1.5L I-VTEC ZX CVT,31165,Petrol,1st owner,Automatic,8.04,15303,Hyderabad
2014,Maruti,Maruti Wagon R 1.0 VXI,49629,Petrol,2nd owner,Manual,2.65,5895,Hyderabad
2021,Nissan,Nissan MAGNITE XV PREMIUM TURBO CVT DUAL TONE,17447,Petrol,1st owner,Automatic,8.86,16864,Hyderabad
2015,Maruti,Maruti Ciaz ZXI AT,104636,Petrol,1st owner,Automatic,4.98,11078,Hyderabad
2021,Maruti,Maruti Baleno DELTA PETROL 1.2,12852,Petrol,1st owner,Manual,6.36,12436,Hyderabad
2019,KIA,KIA SELTOS HTK PLUS 1.5,42495,Petrol,1st owner,Manual,9.25,17607,Hyderabad
2017,Hyundai,Hyundai Creta SX PLUS 1.6 PETROL DUAL TONE,35056,CNG,2nd owner,Manual,8.21,15627,Hyderabad
2020,Maruti,Maruti Swift VXI,28936,Petrol,2nd owner,Manual,5.28,10323,Hyderabad
