YOM,Brand,Car_Name,Kms_Driven,Fuel_Type,Owner_Type,Transmission_Type,Price_in_Lakhs,Emi_per_Month,Location
2021,Tata,Tata TIGOR XE PETROL,24927,Petrol,1st owner,Manual,5.05,9873,New Delhi
2017,Maruti,Maruti Swift LXI (O),61039,Petrol,1st owner,Manual,4.05,7918,New Delhi
2019,Jeep,Jeep Compass SPORT PLUS 1.4 PETROL,59431,Petrol,1st owner,Manual,10.94,20828,New Delhi
2022,Tata,Tata NEXON XZ PETROL,16781,Petrol,1st owner,Manual,8.36,15912,New Delhi
2019,Maruti,Maruti Baleno DELTA PETROL 1.2,47920,CNG,2nd owner,Manual,5.32,10401,New Delhi
2022,Tata,Tata NEXON XZA PLUS DIESEL DARK EDITION,19703,Diesel,1st owner,Manual,9.9,18844,New Delhi
2020,Renault,Renault Kwid RXT 0.8,62100,Petrol,1st owner,Manual,3.49,6823,New Delhi
2021,Nissan,Nissan MAGNITE XL,39044,CNG,1st owner,Manual,5.77,11280,New Delhi
2020,MG,MG HECTOR SHARP 1.5 DCT PETROL,50365,Petrol,2nd owner,Automatic,11.9,22651,New Delhi
2020,Tata,Tata TIGOR XE PETROL,73270,Petrol,1st owner,Manual,4.57,8934,New Delhi
2014,Hyundai,Hyundai i20 SPORTZ 1.2,78713,Petrol,1st owner,Manual,2.79,6206,New Delhi
2020,Tata,Tata TIGOR XZ PLUS PETROL,38660,Petrol,2nd owner,Manual,4.8,9384,New Delhi
2019,Hyundai,Hyundai NEW SANTRO SPORTZ MT,49352,Petrol,1st owner,Manual,4.05,7918,New Delhi
2022,Renault,Renault Kwid CLIMBER 1.0 (O) DUAL TONE,26318,Petrol,1st owner,Manual,4.37,8543,New Delhi
2019,Renault,Renault Kwid RXT 0.8,66883,Petrol,1st owner,Manual,3.4,6639,New Delhi
2022,KIA,KIA SONET HTK 1.5,23502,Diesel,1st owner,Manual,9.17,17450,New Delhi
2013,Maruti,Maruti Swift Dzire LXI,36578,Petrol,1st owner,Manual,3.08,8111,New Delhi
2015,Hyundai,Hyundai Verna FLUIDIC 4S 1.6 VTVT S,102445,Petrol,2nd owner,Automatic,4.69,10440,New Delhi
2018,Hyundai,Hyundai Creta E PLUS 1.6 PETROL,48114,Petrol,1st owner,Manual,7.39,14448,New Delhi
2020,Maruti,Maruti Dzire VXI,,2nd owner,,Manual,5.14,11434,New Delhi
2020,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,56217,Petrol,1st owner,Automatic,5.18,10129,New Delhi
2018,Ford,Ford Ecosport TITANIUM 1.5L PETROL,70577,Petrol,1st owner,Manual,6.18,12082,New Delhi
2017,Maruti,Maruti Wagon R 1.0 VXI+ AMT,40144,Petrol,1st owner,Manual,3.61,7058,New Delhi
2017,Maruti,Maruti Wagon R 1.0 VXI,54614,Petrol,1st owner,Manual,3.46,6772,New Delhi
2017,Maruti,Maruti Baleno ZETA PETROL 1.2,83723,Petrol,1st owner,Manual,4.77,9319,New Delhi
2018,Hyundai,Hyundai Xcent S 1.2,60152,CNG,1st owner,Manual,4.93,9638,New Delhi
2021,Maruti,Maruti Baleno DELTA PETROL 1.2,18717,Petrol,2nd owner,Manual,5.86,11456,New Delhi
2017,Maruti,Maruti Swift LXI (O),48273,Petrol,1st owner,Manual,4.08,7976,New Delhi
2013,Hyundai,Hyundai Verna FLUIDIC 1.6 VTVT EX,108809,Petrol,1st owner,Automatic,3.73,9823,New Delhi
2019,Maruti,Maruti Baleno DELTA PETROL 1.2,65533,Petrol,1st owner,Manual,4.93,9638,New Delhi
2017,Maruti,Maruti Swift ZXI,68334,Petrol,1st owner,Manual,4.6,8993,New Delhi
2022,Tata,Tata PUNCH CREATIVE 1.2 RTN DUAL TONE,20869,Petrol,1st owner,Automatic,7.31,14291,New Delhi
2020,Tata,Tata TIGOR XZ PLUS PETROL,17280,Petrol,1st owner,Manual,6.23,12180,New Delhi
2019,Volkswagen,Volkswagen Vento HIGHLINE PLUS 1.2 AT,30952,Petrol,1st owner,Automatic,10.35,19698,New Delhi
2019,Mahindra,Mahindra XUV500 W7 AT,36879,Diesel,2nd owner,Automatic,10.05,21856,New Delhi
2016,Honda,Honda City 1.5L I-VTEC VX CVT,68957,Petrol,1st owner,Automatic,6.72,13138,New Delhi
2019,Maruti,Maruti Baleno DELTA PETROL 1.2,65259,Petrol,2nd owner,Manual,5.17,10107,New Delhi
2014,Honda,Honda City 1.5L I-VTEC VX CVT,69403,Petrol,1st owner,Automatic,5.31,11817,New Delhi
2016,Maruti,Maruti Swift VXI ABS,40875,Petrol,1st owner,Manual,4.74,9270,New Delhi
2019,Maruti,Maruti Baleno ZETA CVT PETROL 1.2,23024,Petrol,2nd owner,Automatic,6.06,11847,New Delhi
2019,Mahindra,Mahindra XUV500 W9,46842,Diesel,1st owner,Manual,10.77,23419,New Delhi
2013,Maruti,Maruti Swift Dzire VXI,82487,Petrol,2nd owner,Manual,2.68,7057,New Delhi
2016,Maruti,Maruti Wagon R 1.0 VXI,121606,Petrol,1st owner,Manual,2.81,6251,New Delhi
2016,Honda,Honda City 1.5L I-VTEC VX,56424,Petrol,2nd owner,Manual,5.79,11318,New Delhi
2022,Tata,Tata Tiago XT CNG,14180,CNG,1st owner,Manual,5.93,11593,New Delhi
2022,Renault,Renault TRIBER RXT,7070,Petrol,1st owner,Manual,6.1,11926,New Delhi
2018,Hyundai,Hyundai Creta E PLUS 1.6 PETROL,,1st owner,,Manual,7.4,14467,New Delhi
2019,Volkswagen,Volkswagen Vento HIGHLINE PLUS 1.2 AT 16 ALLOY,58082,Petrol,1st owner,Automatic,8.25,15703,New Delhi
2021,Hyundai,Hyundai VENUE SX 1.0 TURBO,29239,Petrol,2nd owner,Manual,8.57,16312,New Delhi
2020,Maruti,Maruti S PRESSO LXI,30886,Petrol,1st owner,Manual,3.44,6725,New Delhi
2017,Honda,Honda Jazz 1.2L I-VTEC V AT,95825,Petrol,2nd owner,Automatic,4.71,9208,New Delhi
2019,Ford,Ford Ecosport TITANIUM 1.5L DIESEL,78701,Diesel,1st owner,Manual,6.81,15148,New Delhi
2014,Hyundai,Hyundai Xcent SX 1.2,57642,Petrol,1st owner,Manual,3.23,7185,New Delhi
2023,Renault,Renault TRIBER RXZ,14050,Petrol,1st owner,Manual,6.83,13347,New Delhi
2021,Maruti,Maruti Baleno SIGMA PETROL 1.2,20770,Petrol,1st owner,Manual,5.74,11231,New Delhi
2016,Hyundai,Hyundai Elite i20 SPORTZ 1.2,84904,Petrol,1st owner,Manual,4.1,8016,New Delhi
2019,Hyundai,Hyundai Creta SX AT 1.6 PETROL,47435,Petrol,1st owner,Automatic,10.19,19396,New Delhi
2018,Maruti,Maruti Baleno DELTA PETROL 1.2,35508,Petrol,1st owner,Manual,5.08,9931,New Delhi
2021,Tata,Tata Tiago XT PETROL,38180,Petrol,1st owner,Manual,4.81,9404,New Delhi
2014,Maruti,Maruti Swift Dzire VXI,49203,Petrol,2nd owner,Manual,3.31,7363,New Delhi
2021,Maruti,Maruti Baleno DELTA PETROL 1.2,25828,Petrol,1st owner,Manual,6.42,12557,New Delhi
2019,Mahindra,Mahindra XUV300 W4 1.5 DIESEL,22027,Diesel,2nd owner,Manual,6.92,15396,New Delhi
2022,KIA,KIA SONET HTK PLUS 1.0 IMT,15670,Petrol,1st owner,Manual,8.9,16940,New Delhi
2014,Hyundai,Hyundai i20 SPORTZ 1.2,33505,Petrol,1st owner,Manual,3.89,8664,New Delhi
2015,Maruti,Maruti Ciaz VXI+,41406,Petrol,1st owner,Manual,4.62,9032,New Delhi
2017,Maruti,Maruti Ciaz ALPHA 1.4 PETROL,43872,Petrol,1st owner,Manual,6.21,12143,New Delhi
2017,Hyundai,Hyundai Creta SX PLUS AT 1.6 PETROL,76058,Petrol,2nd owner,Automatic,7.97,15582,New Delhi
2018,Maruti,Maruti IGNIS ALPHA 1.2,31802,Petrol,1st owner,Manual,5.22,10199,New Delhi
