YOM,Brand,Car_Name,Kms_Driven,Fuel_Type,Owner_Type,Transmission_Type,Price_in_Lakhs,Emi_per_Month,Location
2013,Volkswagen,Volkswagen Polo COMFORTLINE 1.2L PETROL,56856,Petrol,1st owner,Manual,3.07,8084,Hyderabad
2013,Toyota,Toyota Etios Liva G,74269,Petrol,1st owner,Manual,2.77,7294,Hyderabad
2013,Maruti,Maruti Ertiga ZDI,35446,Diesel,1st owner,Manual,6.67,22154,Hyderabad
2013,Volkswagen,Volkswagen Polo COMFORTLINE 1.2L PETROL,53254,Petrol,1st owner,Manual,3.01,7930,Hyderabad
2013,Maruti,Maruti Ertiga ZXI,41154,Petrol,2nd owner,Manual,4.95,13027,Mumbai
2013,Hyundai,Hyundai Grand i10 ERA 1.2 KAPPA VTVT,42124,Petrol,2nd owner,Automatic,2.75,7242,Mumbai
2013,Maruti,Maruti Wagon R 1.0 LXI CNG,28115,CNG,1st owner,Manual,3.18,14969,Hyderabad
2013,Hyundai,Hyundai Grand i10 ERA 1.2 KAPPA VTVT,42124,Petrol,2nd owner,Automatic,2.75,7242,Hyderabad
2013,Maruti,Maruti Ertiga ZXI,41154,Petrol,2nd owner,Manual,4.95,13027,Hyderabad
2013,Maruti,Maruti Swift Dzire VXI,33355,Petrol,1st owner,Manual,3.6,9480,Hyderabad
2013,Maruti,Maruti Wagon R 1.0 LXI CNG,28115,CNG,1st owner,Manual,3.18,14969,Mumbai
2013,Maruti,Maruti Swift VXI,24237,Petrol,1st owner,Manual,3.43,9033,Mumbai
2013,Hyundai,Hyundai Eon ERA +,60385,Petrol,1st owner,Manual,1.77,4661,Mumbai
2013,Maruti,Maruti Wagon R 1.0 LXI,75871,Petrol,1st owner,Manual,2.6,6847,Hyderabad
2013,Hyundai,Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,89808,Petrol,2nd owner,Automatic,2.65,6978,New Delhi
2013,Hyundai,Hyundai Verna FLUIDIC 1.6 VTVT EX,108809,Petrol,1st owner,Automatic,3.73,9823,New Delhi
2013,Volkswagen,Volkswagen Polo COMFORTLINE 1.2L PETROL,56856,Petrol,1st owner,Manual,3.07,8084,Mumbai
2013,Hyundai,Hyundai i10 MAGNA 1.1,74627,Petrol,1st owner,Manual,2.27,5978,New Delhi
2013,Hyundai,Hyundai i10 SPORTZ 1.2,67134,Petrol,2nd owner,Manual,3.27,8617,Banglore
2013,Honda,Honda Brio E MT,52859,Petrol,1st owner,Manual,2.4,6320,New Delhi
2013,Hyundai,Hyundai i10 SPORTZ 1.2,97144,Petrol,2nd owner,Manual,2.91,7663,Banglore
2013,Hyundai,Hyundai i20 MAGNA 1.2,69926,Petrol,1st owner,Manual,2.94,7749,New Delhi
2013,Hyundai,Hyundai Verna FLUIDIC 1.6 CRDI SX,56551,Diesel,1st owner,Manual,5.34,17723,Banglore
2013,Hyundai,Hyundai Eon ERA +,67395,Petrol,2nd owner,Manual,2.4,6320,Banglore
2013,Hyundai,Hyundai i20 MAGNA (O) 1.2,80814,Petrol,1st owner,Manual,2.64,6952,New Delhi
2013,Hyundai,Hyundai Verna FLUIDIC 1.6 VTVT SX,81696,Petrol,2nd owner,Automatic,4.65,12245,Banglore
2013,Honda,Honda Brio S MT,85559,Petrol,1st owner,Manual,2.44,6425,New Delhi
2013,Maruti,Maruti Wagon R 1.0 LXI CNG,71924,CNG,1st owner,Manual,2.58,12154,New Delhi
2013,Maruti,Maruti Alto 800 VXI,63551,Petrol,2nd owner,Manual,2.42,6366,Banglore
2013,Hyundai,Hyundai Grand i10 MAGNA 1.1 CRDI,101157,Diesel,2nd owner,Manual,3.15,10463,Banglore
2013,Hyundai,Hyundai i20 MAGNA 1.2,53017,Petrol,1st owner,Manual,3.99,10502,Banglore
2013,Hyundai,Hyundai i20 MAGNA (O) 1.2,67351,Petrol,2nd owner,Manual,2.52,6636,New Delhi
2013,Honda,Honda City 1.5L I-VTEC V MT,104013,Petrol,2nd owner,Manual,4.38,11532,Banglore
2013,Maruti,Maruti Swift ZXI,76650,Petrol,1st owner,Manual,4.63,12193,Banglore
2013,Hyundai,Hyundai i10 SPORTZ 1.2 AT,70290,Petrol,1st owner,Automatic,3.83,10078,Banglore
