YOM,Brand,Car_Name,Kms_Driven,Fuel_Type,Owner_Type,Transmission_Type,Price_in_Lakhs,Emi_per_Month,Location
2021,Skoda,Skoda KUSHAQ AMBITION 1.0L TSI AT,17310,Petrol,2nd owner,Automatic,12.0,22844,Banglore
2022,Tata,Tata Safari XZA PLUS DARK EDITION,15681,Diesel,1st owner,Manual,20.23,38502,Banglore
2020,Maruti,Maruti Ciaz ALPHA 1.5 SHVS PETROL,52942,Petrol,2nd owner,Manual,7.63,14917,Banglore
2021,Tata,Tata TIGOR XZ PLUS PETROL,53454,Petrol,1st owner,Manual,6.25,12219,Banglore
2016,Volkswagen,Volkswagen Polo GT TSI AT,87513,Petrol,3rd owner,Automatic,6.56,12825,Banglore
2018,Mahindra,Mahindra XUV500 W6,80432,Diesel,1st owner,Manual,9.82,18691,Banglore
2018,Maruti,Maruti Ciaz DELTA DIESEL 1.3,80393,Diesel,2nd owner,Manual,6.88,13451,Banglore
2019,Hyundai,Hyundai Creta SX AT 1.6 PETROL,58195,Petrol,2nd owner,Automatic,10.55,20081,Banglore
2018,Renault,Renault Kwid RXT 1.0 (O),48905,Petrol,1st owner,Manual,3.49,6823,Banglore
2017,Ford,Ford Ecosport TITANIUM 1.5L PETROL AT,47695,Petrol,2nd owner,Automatic,6.77,13234,Banglore
2018,Jeep,Jeep Compass LIMITED (O) 2.0 DIESEL 4X4,80713,Diesel,2nd owner,Manual,12.98,24716,Banglore
2018,Ford,Ford Ecosport TREND 1.5L DIESEL,47693,Diesel,2nd owner,Manual,7.34,14350,Banglore
2023,Maruti,Maruti New Wagon-R ZXI 1.2,3026,Petrol,1st owner,Manual,6.59,12880,Banglore
2023,Tata,Tata PUNCH CREATIVE IRA AMT 1.2 RTN DUAL TONE,7511,Petrol,1st owner,Manual,8.67,16503,Banglore
2021,Skoda,Skoda Rapid AMBITION AT TSI,50445,Petrol,1st owner,Automatic,9.67,18412,Banglore
2017,Hyundai,Hyundai Verna 1.6 VTVT SX AT,58359,Petrol,2nd owner,Automatic,7.06,13795,Banglore
2012,Honda,Honda Jazz 1.2L I-VTEC X,32864,Petrol,2nd owner,Manual,3.29,10937,Banglore
2019,Hyundai,Hyundai Creta SX AT 1.6 PETROL,43539,Petrol,2nd owner,Automatic,10.46,19904,Banglore
2016,Ford,Ford Ecosport TREND 1.5L PETROL,93059,Petrol,1st owner,Manual,5.55,10850,Banglore
2019,Renault,Renault Kwid CLIMBER 1.0 (O),24353,Petrol,2nd owner,Manual,4.38,8567,Banglore
2020,Tata,Tata ALTROZ XZ PETROL,45019,Petrol,2nd owner,Manual,6.57,12844,Banglore
